Country Name;Country Code;World regions according to OWID;Intentional homicides (per 100000 people) as of 2021;Intentional homicides/100k  x 100;Cantril ladder score;Cantril ladder score*1000;GDP per capita. PPP (constant 2021 international $);HDI (Human Development Indicator) Value (0~1000);Country Class;Class 4;Class 3;Class 2;Class 1
North Macedonia;MKD;Europe;1.14;114;5.369;5369;23585;765;2;0;0;1;0
Norway;NOR;Europe;0.54;54;7.302;7302;90470;966;1;0;0;0;1
Pakistan;PAK;Asia;3.98;398;4.657;4657;5439;540;4;1;0;0;0
Panama;PAN;North America;12.73;1273;6.358;6358;35864;820;2;0;0;1;0
Paraguay;PRY;South America;7.83;783;5.977;5977;15783;731;2;0;0;1;0
Peru;PER;South America;5.71;571;5.841;5841;15294;762;2;0;0;1;0
Philippines;PHL;Asia;4.32;432;6.048;6048;9901;710;3;0;1;0;0
Poland;POL;Europe;0.71;71;6.442;6442;44384;881;1;0;0;0;1
Portugal;PRT;Europe;0.8;80;6.03;6030;41755;874;1;0;0;0;1
Romania;ROU;Europe;1.26;126;6.491;6491;40666;827;1;0;0;0;1
Russian Federation;RUS;Europe;6.8;680;5.785;5785;39753;821;1;0;0;0;1
Saudi Arabia;SAU;Asia;0.8;80;6.594;6594;55055;875;1;0;0;0;1
Senegal;SEN;Africa;0.27;27;4.969;4969;4317;517;4;1;0;0;0
Serbia;SRB;Europe;1.06;106;6.411;6411;26030;805;2;0;0;1;0
Sierra Leone;SLE;Africa;2.14;214;3.245;3245;3034;458;4;1;0;0;0
Singapore;SGP;Asia;0.1;10;6.523;6523;127544;949;1;0;0;0;1
Slovak Republic;SVK;Europe;1.01;101;6.257;6257;39290;855;1;0;0;0;1
Slovenia;SVN;Europe;0.42;42;6.743;6743;48244;926;1;0;0;0;1
South Africa;ZAF;Africa;41.87;4187;5.422;5422;13690;717;2;0;0;1;0
South Korea;KOR;Asia;0.52;52;6.058;6058;50572;929;1;0;0;0;1
Spain;ESP;Europe;0.61;61;6.421;6421;47142;911;1;0;0;0;1
Sri Lanka;LKA;Asia;3.43;343;3.898;3898;13030;780;2;0;0;1;0
Sweden;SWE;Europe;1.08;108;7.344;7344;63115;952;1;0;0;0;1
Switzerland;CHE;Europe;0.48;48;7.06;7060;82558;967;1;0;0;0;1
Tajikistan;TJK;Asia;0.91;91;5.281;5281;4472;679;3;0;1;0;0
Tanzania;TZA;Africa;3.7;370;3.781;3781;3621;532;4;1;0;0;0
Tunisia;TUN;Africa;4.62;462;4.422;4422;12553;732;2;0;0;1;0
Turkiye;TUR;Asia;2.52;252;4.975;4975;34610;855;2;0;0;1;0
Uganda;UGA;Africa;8.53;853;4.372;4372;2791;550;3;0;1;0;0
Ukraine;UKR;Europe;3.84;384;4.873;4873;15885;734;2;0;0;1;0
United Arab Emirates;ARE;Asia;0.47;47;6.733;6733;68578;937;1;0;0;0;1
United Kingdom;GBR;Europe;1;100;6.749;6749;54542;940;1;0;0;0;1
United States;USA;North America;6.81;681;6.725;6725;74578;927;1;0;0;0;1
Uruguay;URY;South America;8.9;890;6.611;6611;31019;830;2;0;0;1;0
Uzbekistan;UZB;Asia;1.41;141;6.195;6195;10008;727;2;0;0;1;0
Zambia;ZMB;Africa;5.25;525;3.502;3502;3673;569;4;1;0;0;0
Zimbabwe;ZWE;Africa;6.14;614;3.341;3341;3442;550;4;1;0;0;0
